Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		4,616 K	18,304 K	3032	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,572 K	14,508 K	2220	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,192 K	18,712 K	3160	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		16,936 K	35,508 K	3184	Host Process for Windows Services	Microsoft Corporation
  SynTPEnhService.exe		2,188 K	5,120 K	3248	64-bit Synaptics Pointing Enhance Service	Synaptics Incorporated
   SynTPEnh.exe	< 0.01	7,060 K	13,148 K	7420	Synaptics TouchPad 64-bit Enhancements	Synaptics Incorporated
  svchost.exe		3,308 K	21,960 K	3312	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,284 K	12,420 K	3320	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,076 K	16,348 K	3356	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,864 K	16,116 K	3524	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,068 K	27,728 K	3608	Host Process for Windows Services	Microsoft Corporation
   audiodg.exe	0.69	26,448 K	18,036 K	18716		
  svchost.exe		3,548 K	21,784 K	3736	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,856 K	13,744 K	3748	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		8,836 K	26,704 K	3760	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,040 K	21,556 K	3900	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		8,740 K	46,192 K	3856	Host Process for Windows Services	Microsoft Corporation
   wlanext.exe		1,184 K	4,192 K	4516		
    conhost.exe		6,232 K	3,900 K	4524		
  svchost.exe		3,120 K	29,100 K	4324	Host Process for Windows Services	Microsoft Corporation
  spoolsv.exe		5,428 K	7,572 K	4392	Spooler SubSystem App	Microsoft Corporation
  svchost.exe		4,500 K	26,092 K	4452	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,500 K	19,708 K	4476	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,100 K	16,852 K	4544	Host Process for Windows Services	Microsoft Corporation
  AdobeUpdateService.exe	< 0.01	2,296 K	2,732 K	4672	Adobe Update Service	Adobe Inc.
  com.docker.service		58,964 K	18,068 K	4684		
  CxMonSvc.exe		21,648 K	12,696 K	4696	CxMonSvc	Conexant Systems, Inc
  svchost.exe		2,612 K	16,256 K	4748	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		26,656 K	59,780 K	4780	Host Process for Windows Services	Microsoft Corporation
  CxUtilSvc.exe		1,440 K	3,748 K	4792	Utility Service	Conexant Systems, Inc.
  svchost.exe	< 0.01	43,668 K	64,944 K	4828	Host Process for Windows Services	Microsoft Corporation
  esif_uf.exe	< 0.01	1,436 K	3,548 K	4860	Intel(R) Dynamic Platform and Thermal Framework	Intel Corporation
  fpCSEvtSvc.exe		8,532 K	6,308 K	4912		
  HotKeyServiceUWP.exe		5,144 K	10,872 K	4952	HP Hotkey UWP Service	HP Inc.
   HPHotkeyNotification.exe	< 0.01	3,440 K	6,912 K	7516		
  HotkeyService.exe		1,656 K	4,552 K	4992	HP Hotkey Service	HP
  ibtsiva.exe		1,180 K	4,208 K	5040	Intel(R) Wireless Bluetooth(R) iBtSiva Service	Intel Corporation
  OneApp.IGCC.WinService.exe		43,360 K	17,416 K	5064	Intel® Graphics Command Center Service	Intel Corporation
  svchost.exe		3,840 K	22,464 K	5092	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,776 K	16,428 K	5100	Host Process for Windows Services	Microsoft Corporation
  LMS.exe		9,160 K	12,424 K	5108	Intel(R) Local Management Service	Intel Corporation
  mongod.exe	0.34	253,436 K	22,376 K	5144	MongoDB Database Server	MongoDB, Inc
  svchost.exe		1,564 K	16,496 K	5196	Host Process for Windows Services	Microsoft Corporation
  valWBFPolicyService.exe	< 0.01	8,840 K	6,872 K	5244	SynapticsWBF Policy Service (COGENT)	Synaptics Incorporated
